pdbid,ligand_cluster_id,protein_cluster_id,combined_cluster_id
3ggu,3066,736,273
3gi4,3066,736,273
3gi5,3066,736,273
3gi6,3066,736,273
3h5b,3066,736,273
3i6o,3066,736,273
3i7e,3066,736,273
3lzs,3066,736,273
3lzu,3066,736,273
3lzv,3066,736,273
3mxd,3066,736,273
3mxe,3066,736,273
3nu3,3066,736,273
3nu4,3066,736,273
3nu5,3066,736,273
3nu6,3066,736,273
3nu9,3066,736,273
3nuj,3066,736,273
3nuo,3066,736,273
3o99,3066,736,273
3o9a,3066,736,273
3o9b,3066,736,273
3o9c,3066,736,273
3o9d,3066,736,273
3o9e,3066,736,273
3o9f,3066,736,273
3o9g,3066,736,273
3o9h,3066,736,273
3o9i,3066,736,273
3ogp,3066,736,273
3ogq,3066,736,273
3ok9,3066,736,273
3pwm,3066,736,273
3qaa,3066,736,273
3s43,3066,736,273
3s45,3066,736,273
3s53,3066,736,273
3s54,3066,736,273
3so9,3066,736,273
3st5,3066,736,273
3t3c,3066,736,273
3tkw,3066,736,273
3ttp,3066,736,273
3u7s,3066,736,273
3vf5,3066,736,273
3vf7,3066,736,273
3vfa,3066,736,273
3vfb,3066,736,273
4dfg,3066,736,273
4djo,3066,736,273
4djp,3066,736,273
4djq,3066,736,273
4djr,3066,736,273
4fe6,3066,736,273
4hdb,3066,736,273
4hdf,3066,736,273
4hdp,3066,736,273
4he9,3066,736,273
4heg,3066,736,273
4hla,3066,736,273
4i8w,3066,736,273
4i8z,3066,736,273
4kb9,3066,736,273
4l1a,3066,736,273
4ll3,3066,736,273
4m8x,3066,736,273
4m8y,3066,736,273
4q1w,3066,736,273
4q1x,3066,736,273
4q1y,3066,736,273
4u8w,3066,736,273
4ye3,3066,736,273
4yhq,3066,736,273
4zip,3066,736,273
4zls,3066,736,273
5bry,3066,736,273
5bs4,3066,736,273
5dgu,3066,736,273
5dgw,3066,736,273
5jfp,3066,736,273
5jfu,3066,736,273
5jg1,3066,736,273
5kqy,3066,736,273
5kr0,3066,736,273
5kr1,3066,736,273
5tyr,3066,736,273
5tys,3066,736,273
5ult,3066,736,273
5uov,3066,736,273
5upz,3066,736,273
5wlo,3066,736,273
6b4n,3066,736,273
6c8x,3066,736,273
6cdj,3066,736,273
6cdl,3066,736,273
6dgx,3066,736,273
6dgy,3066,736,273
6dgz,3066,736,273
6dh0,3066,736,273
6dh1,3066,736,273
6dh2,3066,736,273
6dh3,3066,736,273
6dh4,3066,736,273
6dh5,3066,736,273
6dh6,3066,736,273
6dh7,3066,736,273
6dh8,3066,736,273
6dj1,3066,736,273
6dj2,3066,736,273
6dj5,3066,736,273
6dj7,3066,736,273
6e7j,3066,736,273
6e9a,3066,736,273
6oos,3066,736,273
6oot,3066,736,273
6oou,3066,736,273
6otg,3066,736,273
6oxp,3066,736,273
6oxq,3066,736,273
6oxr,3066,736,273
6oxs,3066,736,273
6oxt,3066,736,273
6oxu,3066,736,273
6oxv,3066,736,273
6oxw,3066,736,273
6oxx,3066,736,273
6oxy,3066,736,273
6oxz,3066,736,273
6oy0,3066,736,273
6oy1,3066,736,273
6oy2,3066,736,273
6prf,3066,736,273
6r12,3068,1632,274
6r13,3068,1632,274
6r18,3068,1632,274
6r1c,3068,1632,274
6r1d,3068,1632,274
3dxk,3075,702,275
3ukr,3075,702,275
5n1x,3083,1277,276
1oba,3088,132,277
6nd3,3088,1595,277
4yqm,3097,1091,278
6pnm,3097,1091,278
6pnn,3097,1091,278
6pno,3097,1091,278
3v78,3100,753,279
4r6t,3103,326,280
4r76,3103,326,280
4r7m,3103,326,280
4zx8,3103,326,280
4zx9,3103,326,280
4zy0,3103,326,280
4zy1,3103,326,280
4zy2,3103,326,280
4zyq,3103,326,280
6ee2,3103,326,280
6eee,3103,326,280
6r8p,3106,1636,281
6r8q,3106,1636,281
6r8r,3106,1636,281
4ydf,3110,1082,282
4ydg,3110,1082,282
1yqy,3127,241,283
4pkr,3127,241,283
4pks,3127,241,283
4pkt,3127,241,283
4pku,3127,241,283
4pkv,3127,241,283
4wf6,3127,241,283
4xm6,3127,241,283
4xm7,3127,241,283
4xm8,3127,241,283
5d1s,3127,241,283
5d1t,3127,241,283
5d1u,3127,241,283
5bqg,3134,1118,284
4crj,3154,782,285
4cwb,3154,782,285
4m5g,3154,782,285
4m5h,3154,782,285
4m5i,3154,782,285
4m5j,3154,782,285
4m5k,3154,782,285
4m5l,3154,782,285
5etk,3154,782,285
5etl,3154,782,285
5etm,3154,782,285
5etn,3154,782,285
5eto,3154,782,285
5etp,3154,782,285
5etq,3154,782,285
5etr,3154,782,285
5ets,3154,782,285
5ett,3154,782,285
5etv,3154,782,285
5wqk,3156,1360,286
4d1a,3167,819,287
4d1b,3167,819,287
4d1d,3167,819,287
4dtt,3173,1438,288
4dwk,3173,1438,288
4gs8,3173,1438,288
4gsc,3173,1438,288
3hvh,3175,1088,289
3hvi,3175,1088,289
3hvj,3175,1088,289
3hvk,3175,1088,289
3nw9,3175,1088,289
3nwb,3175,1088,289
3nwe,3175,1088,289
3oe4,3175,1088,289
3oe5,3175,1088,289
3ozr,3175,1088,289
3ozs,3175,1088,289
3ozt,3175,1088,289
3r6t,3175,1088,289
6mhm,3176,1468,290
4yrr,3184,1092,291
4yrs,3184,1092,291
4yrt,3184,1092,291
4e1k,3187,731,292
4knr,3187,731,292
4knx,3187,731,292
3isj,3210,590,293
3iub,3210,590,293
3iue,3210,590,293
3ivc,3210,590,293
3ivg,3210,590,293
3ivx,3210,590,293
3le8,3210,590,293
4mq6,3210,590,293
4mue,3210,590,293
4muf,3210,590,293
4muk,3210,590,293
4mul,3210,590,293
3srg,3212,710,294
2y2h,3218,490,295
2y2i,3218,490,295
2y2j,3218,490,295
2y2k,3218,490,295
2fqo,3224,283,296
2fqt,3224,283,296
1qf4,3225,161,297
1qf5,3225,161,297
1ikt,3226,79,298
2cle,3241,20,299
2clf,3241,20,299
2clh,3241,20,299
2cli,3241,20,299
2cll,3241,20,299
2clm,3241,20,299
2clo,3241,20,299
2vqt,3250,475,300
1b8n,3271,21,301
1b8o,3271,21,301
1dqn,3271,30,301
1g2o,3271,21,301
1pf7,3271,21,301
1rr6,3271,21,301
1rt9,3271,21,301
2ff1,3271,74,301
2ff2,3271,74,301
2oc4,3271,21,301
2oc9,3271,21,301
2on6,3271,21,301
2q7o,3271,21,301
3b9g,3271,74,301
4i72,3271,74,301
1y6q,3272,1427,302
3dp9,3272,1427,302
4f2w,3272,1427,302
4f3c,3272,1427,302
4f3k,3272,1427,302
4ffs,3272,1427,302
4wkb,3272,1427,302
4wkc,3272,1427,302
4wkn,3272,1427,302
4wko,3272,1427,302
4wkp,3272,1427,302
4x24,3272,1427,302
4yml,3272,1427,302
4ynb,3272,1427,302
6ayo,3272,1427,302
6ayq,3272,1427,302
6ayr,3272,1427,302
6ays,3272,1427,302
6ayt,3272,1427,302
6dyu,3272,1427,302
6dyv,3272,1427,302
6dyw,3272,1427,302
6dyy,3272,1427,302
6dyz,3272,1470,302
6dz0,3272,1470,302
6dz2,3272,1470,302
6dz3,3272,1470,302
4bs4,3275,1043,303
4hki,3275,1043,303
4hkk,3275,1043,303
4hkn,3275,1043,303
4hl5,3275,1043,303
4hlf,3275,1043,303
4hlg,3275,1043,303
4hlh,3275,1043,303
4hlk,3275,1043,303
4hlm,3275,1043,303
4hmh,3275,1043,303
4kzl,3275,1043,303
4kzq,3275,1043,303
4kzu,3275,1043,303
4l09,3275,1043,303
4l0b,3275,1043,303
4l0i,3275,1043,303
4l0s,3275,1043,303
4l0t,3275,1043,303
4l0v,3275,1043,303
4l10,3275,1043,303
4l2f,3275,1043,303
4l2g,3275,1043,303
4l2k,3275,1043,303
4l31,3275,1043,303
4l32,3275,1043,303
4l33,3275,1043,303
4l34,3275,1043,303
5jcj,3275,1048,303
5jdi,3275,1048,303
5yun,3275,1391,303
6m8a,3275,1573,303
6m8c,3275,1573,303
6m8d,3275,1573,303
6m8e,3275,1573,303
4dmn,3283,999,304
4e1m,3283,999,304
4e1n,3283,999,304
4gvm,3283,999,304
4gw6,3283,999,304
4jlh,3283,999,304
4lh5,3283,999,304
4nyf,3283,999,304
4o0j,3283,999,304
4o55,3283,999,304
4o5b,3283,999,304
4ojr,3283,999,304
4tsx,3283,999,304
5kgw,3283,999,304
5kgx,3283,999,304
6eb1,3283,999,304
6eb2,3283,999,304
6ncj,3283,999,304
4amy,3286,479,305
4amz,3286,479,305
4an1,3286,479,305
1lrh,3298,101,306
2lk1,3308,360,307
6max,3310,1577,308
2wqp,3312,897,309
6ppy,3312,897,309
3bu1,3317,531,310
2v3d,3327,437,311
2v3e,3327,437,311
3rik,3327,437,311
1r9l,3361,170,312
1sw2,3361,184,312
2b4l,3361,624,312
3l6h,3361,624,312
3mam,3361,184,312
3ppo,3361,184,312
3ppp,3361,184,312
1qft,3362,162,313
6dyn,3362,1469,313
6dyr,3362,1469,313
1q91,3363,1085,314
4yih,3363,1085,314
4yik,3363,1085,314
6g22,3363,1085,314
6g2l,3363,1085,314
6g2m,3363,1085,314
6g2n,3363,1085,314
1avd,3367,262,315
1df8,3367,262,315
1n43,3367,262,315
1n9m,3367,262,315
1ndj,3367,262,315
1stp,3367,262,315
1swg,3367,262,315
1swk,3367,262,315
1swn,3367,262,315
1swp,3367,262,315
1swr,3367,262,315
2avi,3367,262,315
2c1q,3367,262,315
2f01,3367,262,315
2gh7,3367,262,315
2izl,3367,262,315
2jgs,3367,262,315
2uyw,3367,262,315
2zsc,3367,262,315
3ew2,3367,869,315
3rdo,3367,262,315
3t2w,3367,869,315
3wzn,3367,262,315
3wzp,3367,262,315
3wzq,3367,262,315
3x00,3367,262,315
4bcs,3367,262,315
4bj8,3367,262,315
4dve,3367,832,315
4ggz,3367,869,315
4jhq,3367,262,315
4jnj,3367,869,315
5hlm,3367,262,315
3juo,3373,903,316
3jup,3373,903,316
3juq,3373,903,316
3rv6,3374,754,317
3rv7,3374,754,317
5cwa,3374,754,317
4x0u,3387,1061,318
1amk,3390,192,319
1aw1,3390,192,319
1b57,3390,1025,319
1egh,3390,78,319
1hti,3390,192,319
1ik4,3390,78,319
1kv5,3390,192,319
1lyx,3390,192,319
1lzo,3390,192,319
1ml1,3390,192,319
1s89,3390,78,319
1tpw,3390,192,319
1trd,3390,192,319
2isv,3390,1025,319
2isw,3390,1025,319
2j27,3390,192,319
2v2c,3390,192,319
2v2h,3390,192,319
2vxn,3390,192,319
2ypi,3390,192,319
3c52,3390,1025,319
3tao,3390,192,319
4bi6,3390,192,319
4bi7,3390,192,319
4del,3390,1025,319
6p10,3391,1615,320
6p11,3391,1615,320
6p12,3391,1615,320
6p14,3391,1615,320
1qvt,3396,167,321
1qvu,3396,167,321
2v57,3396,439,321
4zph,3396,1103,321
4fk7,3398,851,322
1xk9,3399,223,323
4bcn,3402,802,324
4bcq,3402,802,324
6h7f,3423,1536,325
4gbd,3424,865,326
5wpb,3428,1442,327
6cec,3428,1442,327
6ced,3428,1442,327
6cee,3428,1442,327
2xel,3445,480,328
2xo8,3445,480,328
6g25,3453,1512,329
6g2b,3453,1512,329
6g2c,3453,1512,329
6g2e,3453,1512,329
6g2f,3453,1512,329
6g2o,3453,1512,329
5j4n,3454,1226,330
6agg,3454,1420,330
6fdq,3456,1504,331
4jjf,3457,906,332
4jjg,3457,906,332
1gyy,3461,66,333
4l4l,3466,962,334
4lww,3466,962,334
4m6p,3466,962,334
4m6q,3466,962,334
4o13,3466,962,334
4o15,3466,962,334
4f1l,3471,1258,335
4f1q,3471,1258,335
5nqe,3471,1258,335
1b42,3472,15,336
3mag,3472,15,336
1pu7,3473,155,337
1ao8,3480,920,338
1c2t,3480,1106,338
1c3e,3480,1106,338
1dhi,3480,920,338
1dhj,3480,920,338
1gar,3480,1106,338
1njs,3480,1106,338
2d0k,3480,920,338
2drc,3480,920,338
2e7f,3480,273,338
2idk,3480,314,338
2ogy,3480,273,338
2qk8,3480,920,338
3eig,3480,920,338
4kmz,3480,919,338
4kn0,3480,919,338
4kn1,3480,919,338
4kn2,3480,919,338
4lrh,3480,919,338
4qpd,3480,1008,338
4u03,3480,1031,338
4u0m,3480,1031,338
4u0n,3480,1031,338
4z7f,3480,1097,338
4zyt,3480,1106,338
4zyu,3480,1106,338
4zyv,3480,1106,338
4zyw,3480,1106,338
4zyx,3480,1106,338
4zyy,3480,1106,338
4zyz,3480,1106,338
4zz0,3480,1106,338
4zz1,3480,1106,338
4zz2,3480,1106,338
4zz3,3480,1106,338
5izq,3480,919,338
5j9f,3480,1106,338
2x2r,3489,764,339
2xae,3489,764,339
3ken,3489,764,339
5zo7,3489,764,339
5zo8,3489,764,339
5zo9,3489,764,339
3nok,3493,649,340
1exw,3494,40,341
2ygu,3494,498,341
6pi5,3496,1622,342
6pii,3496,1622,342
3s0e,3503,706,343
6eks,3507,1479,344
2vl1,3511,445,345
3gep,3512,1246,346
3ggc,3512,1246,346
3ggj,3512,1246,346
4ijq,3512,1246,346
4rab,3512,1246,346
4rac,3512,1246,346
4rad,3512,1246,346
4ran,3512,1246,346
4rao,3512,1246,346
4raq,3512,1246,346
4rhu,3512,1246,346
4rhx,3512,1246,346
4rhy,3512,1246,346
5brn,3512,1246,346
5bsk,3512,1246,346
5jsq,3512,1246,346
5k51,3512,1246,346
5kap,3512,1246,346
5knr,3512,1246,346
5kns,3512,1246,346
5knt,3512,1246,346
5knv,3512,1246,346
5knx,3512,1246,346
5w8v,3512,1246,346
6aps,3512,1246,346
6apt,3512,1246,346
6apu,3512,1246,346
6apv,3512,1246,346
6aqo,3512,1246,346
6ar9,3512,1246,346
1a69,3513,135,347
1k9s,3513,135,347
1pr1,3513,135,347
6f4w,3513,135,347
6f4x,3513,135,347
6om4,3521,1611,348
6maj,3522,1610,349
6oin,3522,1610,349
6oio,3522,1610,349
6oip,3522,1610,349
6oiq,3522,1610,349
6oir,3522,1610,349
6msn,3523,1583,350
6mso,3523,1583,350
2zcq,3528,723,351
2zcr,3528,723,351
2zcs,3528,723,351
2zy1,3528,723,351
4f6v,3528,723,351
3nrz,3531,458,352
1acj,3532,281,353
1h22,3532,281,353
1h23,3532,281,353
1mx1,3532,281,353
1qon,3532,281,353
1zgb,3532,281,353
2aow,3532,249,353
2aox,3532,249,353
2ckm,3532,281,353
2cmf,3532,281,353
4bds,3532,281,353
5eie,3532,281,353
6o4x,3532,281,353
1g9a,3536,75,354
1g9b,3536,75,354
1g9c,3536,75,354
1g9d,3536,75,354
3i6c,3536,318,354
3jyj,3536,318,354
3kac,3536,318,354
3kad,3536,318,354
3kaf,3536,318,354
3kag,3536,318,354
3kah,3536,318,354
3kai,3536,318,354
4l70,3536,579,354
4l7l,3536,579,354
4l7n,3536,579,354
4l7o,3536,579,354
4l7r,3536,579,354
4l7u,3536,579,354
4tyo,3536,318,354
6rih,3536,1638,354
6rj2,3536,1638,354
6rj3,3536,1638,354
6rj5,3536,1638,354
5kqg,3539,24,355
5kql,3539,24,355
1jdj,3545,115,356
1n1g,3545,115,356
2pqj,3545,399,356
1hk1,3549,57,357
1hk2,3549,57,357
1hk3,3549,57,357
1hk4,3549,57,357
1hk5,3549,57,357
4hn2,3552,1588,358
4nzm,3552,1588,358
4nzn,3552,1588,358
4nzo,3552,1588,358
1ctt,3564,23,359
1ctu,3564,23,359
6ha4,3566,1539,360
6hah,3566,1539,360
6haj,3566,1539,360
3fj7,3567,580,361
4umb,3567,1039,361
4umc,3567,1039,361
1hyo,3568,309,362
2hzy,3568,309,362
1g2a,3569,830,363
1q1y,3569,830,363
1ws1,3569,830,363
3g5k,3569,830,363
3m6p,3569,830,363
3m6q,3569,830,363
3m6r,3569,830,363
3pn4,3569,830,363
4dr9,3569,830,363
4je7,3569,830,363
5jf1,3569,830,363
5mte,3569,830,363
2xii,3572,511,364
2zwz,3572,511,364
2zx5,3572,511,364
2zx6,3572,511,364
2zx7,3572,511,364
2zx8,3572,511,364
2zx9,3572,511,364
2zxa,3572,511,364
4nni,3576,953,365
3b1t,3577,827,366
3b1u,3577,827,366
4dkt,3577,827,366
1uod,3578,200,367
2jg8,3578,329,367
1e2k,3579,34,368
1e2l,3579,34,368
2xi7,3583,482,369
1g7v,3589,559,370
1g98,3589,54,370
1gzv,3589,54,370
1jcx,3589,559,370
1koj,3589,54,370
1m5w,3589,105,370
1pgp,3589,1327,370
1rbo,3589,523,370
1u0g,3589,54,370
1uj5,3589,130,370
1uj6,3589,130,370
1zaj,3589,729,370
2bes,3589,252,370
2bet,3589,252,370
2gyi,3589,295,370
3axm,3589,523,370
3e12,3589,559,370
3tu9,3589,729,370
4gwk,3589,1327,370
4p6c,3589,981,370
5nw7,3589,1281,370
5m4q,3591,1266,371
5mby,3591,1266,371
1d09,3596,1502,372
1q95,3596,1502,372
2h3e,3596,1502,372
2ipo,3596,1502,372
2o4h,3596,383,372
5g1n,3596,1502,372
1xnz,3601,168,373
2evc,3601,168,373
2evm,3601,168,373
2p99,3601,168,373
2p9a,3601,168,373
2q92,3601,168,373
2q93,3601,168,373
2q94,3601,168,373
2q95,3601,168,373
2q96,3601,168,373
3iu7,3601,168,373
4wq2,3609,1270,374
4wq3,3609,1270,374
6ei4,3614,1211,375
6qxd,3614,1211,375
1hy7,3617,336,376
1rmz,3617,336,376
1ycm,3617,336,376
1z3j,3617,336,376
1zs0,3617,336,376
1zvx,3617,336,376
2jnp,3617,336,376
2jsd,3617,336,376
2jt5,3617,336,376
3ehx,3617,336,376
3ehy,3617,336,376
3f15,3617,336,376
3f16,3617,336,376
3f17,3617,336,376
3f18,3617,336,376
3f19,3617,336,376
3f1a,3617,336,376
3lk8,3617,336,376
3n2u,3617,336,376
3n2v,3617,336,376
3nx7,3617,336,376
5dhp,3624,1142,377
5dhq,3624,1142,377
5dhr,3624,1142,377
5dhs,3624,1142,377
5dht,3624,1142,377
5dhu,3624,1142,377
11gs,3628,0,378
16pk,3628,1,378
184l,3628,1414,378
186l,3628,1414,378
187l,3628,1414,378
188l,3628,1414,378
1a07,3628,1152,378
1a08,3628,1152,378
1a09,3628,1152,378
1a0t,3628,2,378
1a1b,3628,1152,378
1a1c,3628,1152,378
1a1e,3628,1152,378
1a37,3628,1283,378
1a3e,3628,188,378
1a46,3628,188,378
1a4g,3628,923,378
1a4q,3628,923,378
1a4r,3628,932,378
1a5g,3628,188,378
1a61,3628,188,378
1a99,3628,153,378
1abf,3628,1653,378
1abt,3628,225,378
1ad8,3628,188,378
1adl,3628,345,378
1af6,3628,2,378
1afk,3628,1060,378
1afl,3628,1060,378
1agm,3628,56,378
1aht,3628,188,378
1ahx,3628,251,378
1ai4,3628,913,378
1ai5,3628,913,378
1ai6,3628,913,378
1ai7,3628,913,378
1ajn,3628,913,378
1ajp,3628,913,378
1ajq,3628,913,378
1anf,3628,1269,378
1ao0,3628,6,378
1apb,3628,1653,378
1apv,3628,338,378
1apw,3628,338,378
1aqc,3628,7,378
1aqi,3628,8,378
1aqj,3628,8,378
1at5,3628,877,378
1at6,3628,877,378
1atl,3628,456,378
1atr,3628,908,378
1au0,3628,1094,378
1auj,3628,188,378
1awi,3628,9,378
1ax0,3628,1074,378
1ax1,3628,1074,378
1ax2,3628,1074,378
1axz,3628,1074,378
1ayu,3628,1094,378
1ayv,3628,1094,378
1aze,3628,455,378
1azg,3628,603,378
1azm,3628,1505,378
1b05,3628,1384,378
1b0h,3628,1384,378
1b1h,3628,1384,378
1b2h,3628,1384,378
1b2m,3628,10,378
1b32,3628,1384,378
1b38,3628,893,378
1b39,3628,893,378
1b3f,3628,1384,378
1b3g,3628,1384,378
1b3h,3628,1384,378
1b3l,3628,1384,378
1b40,3628,1384,378
1b46,3628,1384,378
1b4h,3628,1384,378
1b4z,3628,1384,378
1b51,3628,1384,378
1b52,3628,1384,378
1b55,3628,11,378
1b56,3628,345,378
1b58,3628,1384,378
1b5g,3628,188,378
1b5h,3628,1384,378
1b5i,3628,1384,378
1b5j,3628,1384,378
1b6h,3628,1384,378
1b74,3628,12,378
1b7h,3628,1384,378
1b9j,3628,1384,378
1bap,3628,1653,378
1bbz,3628,455,378
1bcj,3628,172,378
1bhf,3628,1152,378
1bji,3628,923,378
1bjr,3628,13,378
1bju,3628,188,378
1bjv,3628,188,378
1bkm,3628,1152,378
1bm2,3628,1152,378
1bm7,3628,1322,378
1bma,3628,188,378
1bmb,3628,1152,378
1bo5,3628,16,378
1bp0,3628,550,378
1bq3,3628,17,378
1bt6,3628,605,378
1btn,3628,18,378
1bux,3628,178,378
1bwn,3628,11,378
1bxl,3628,1525,378
1bxq,3628,338,378
1bxr,3628,19,378
1bzc,3628,296,378
1bzj,3628,296,378
1c83,3628,296,378
1c84,3628,296,378
1c85,3628,296,378
1cbx,3628,617,378
1cka,3628,455,378
1ckb,3628,455,378
1clu,3628,932,378
1cnw,3628,1505,378
1cnx,3628,1505,378
1cny,3628,1505,378
1cps,3628,617,378
1cr6,3628,83,378
1cs4,3628,535,378
1csh,3628,1417,378
1csi,3628,1417,378
1csr,3628,1417,378
1css,3628,1417,378
1czc,3628,251,378
1cze,3628,251,378
1czq,3628,185,378
1d2e,3628,25,378
1d4t,3628,1152,378
1d4w,3628,1152,378
1d5r,3628,26,378
1dar,3628,510,378
1ddm,3628,708,378
1det,3628,10,378
1dgm,3628,311,378
1dkd,3628,28,378
1dmb,3628,1269,378
1dmt,3628,555,378
1doj,3628,188,378
1dpu,3628,29,378
1dqx,3628,37,378
1drj,3628,898,378
1drk,3628,898,378
1drv,3628,31,378
1dth,3628,456,378
1dub,3628,32,378
1dud,3628,306,378
1dva,3628,188,378
1e5a,3628,1322,378
1e5j,3628,163,378
1e8h,3628,35,378
1eb1,3628,188,378
1ebg,3628,1099,378
1ecv,3628,296,378
1eei,3628,88,378
1efi,3628,88,378
1eix,3628,37,378
1ej4,3628,638,378
1ek1,3628,83,378
1ek2,3628,83,378
1ekb,3628,188,378
1ela,3628,188,378
1elb,3628,188,378
1elc,3628,188,378
1eld,3628,188,378
1ele,3628,188,378
1elr,3628,1503,378
1els,3628,1099,378
1ent,3628,338,378
1eoc,3628,259,378
1eoj,3628,188,378
1eol,3628,188,378
1evh,3628,945,378
1ez9,3628,1269,378
1f1j,3628,176,378
1f2o,3628,41,378
1f2p,3628,41,378
1f3j,3628,179,378
1f57,3628,617,378
1f8b,3628,923,378
1f8c,3628,923,378
1f8d,3628,923,378
1f8e,3628,923,378
1f90,3628,940,378
1f9e,3628,176,378
1fao,3628,310,378
1fch,3628,837,378
1fd7,3628,88,378
1fdq,3628,345,378
1fe3,3628,345,378
1ff1,3628,45,378
1fh7,3628,46,378
1fh8,3628,46,378
1fh9,3628,46,378
1fhr,3628,47,378
1fkn,3628,338,378
1fo0,3628,737,378
1fo2,3628,49,378
1fpi,3628,407,378
1fpy,3628,935,378
1fq7,3628,338,378
1fsw,3628,951,378
1fta,3628,407,378
1ftj,3628,896,378
1fwu,3628,52,378
1fwv,3628,52,378
1fyr,3628,1152,378
1fzj,3628,737,378
1fzk,3628,737,378
1fzm,3628,737,378
1fzo,3628,737,378
1fzq,3628,932,378
1g1d,3628,1505,378
1g1e,3628,53,378
1g3f,3628,1058,378
1g3m,3628,220,378
1g45,3628,1505,378
1g46,3628,1505,378
1g48,3628,1505,378
1g4j,3628,1505,378
1g4o,3628,1505,378
1g52,3628,1505,378
1g53,3628,1505,378
1g54,3628,1505,378
1g6g,3628,1394,378
1g6r,3628,737,378
1g74,3628,345,378
1g7p,3628,737,378
1g7q,3628,737,378
1g9r,3628,55,378
1ga8,3628,55,378
1gag,3628,1254,378
1gah,3628,56,378
1gai,3628,56,378
1gbq,3628,455,378
1gbt,3628,188,378
1gca,3628,898,378
1ggd,3628,188,378
1gja,3628,188,378
1gny,3628,58,378
1gpy,3628,166,378
1grp,3628,1393,378
1gu3,3628,60,378
1gui,3628,61,378
1guw,3628,62,378
1gux,3628,1090,378
1gvk,3628,188,378
1gvu,3628,338,378
1gvw,3628,338,378
1gvx,3628,338,378
1gwm,3628,63,378
1gwq,3628,44,378
1gwr,3628,44,378
1gwv,3628,129,378
1gww,3628,129,378
1gx0,3628,129,378
1gx4,3628,129,378
1gym,3628,65,378
1gz3,3628,67,378
1gz4,3628,67,378
1gz9,3628,1074,378
1gzc,3628,1074,378
1gzg,3628,232,378
1h0a,3628,68,378
1h1h,3628,1060,378
1h24,3628,893,378
1h25,3628,893,378
1h26,3628,893,378
1h27,3628,893,378
1h28,3628,893,378
1h2t,3628,69,378
1h3h,3628,455,378
1h5v,3628,163,378
1h6e,3628,894,378
1h6h,3628,71,378
1h79,3628,72,378
1h7a,3628,72,378
1h9l,3628,188,378
1haa,3628,225,378
1hc9,3628,225,378
1hdq,3628,617,378
1hdt,3628,188,378
1hee,3628,617,378
1hge,3628,1073,378
1hgi,3628,1073,378
1hgj,3628,1073,378
1hgt,3628,188,378
1hi3,3628,1060,378
1hi4,3628,1060,378
1hi5,3628,1060,378
1him,3628,940,378
1hiy,3628,178,378
1hkj,3628,467,378
1hkk,3628,467,378
1hkm,3628,467,378
1hmr,3628,345,378
1hms,3628,345,378
1hmt,3628,345,378
1hp5,3628,125,378
1hqf,3628,1401,378
1hqg,3628,1401,378
1hqh,3628,1401,378
1hs6,3628,1012,378
1hsl,3628,1520,378
1i3z,3628,1152,378
1i5d,3628,1578,378
1i5h,3628,334,378
1i72,3628,558,378
1i8h,3628,334,378
1i8i,3628,914,378
1i8j,3628,232,378
1i9l,3628,1505,378
1i9m,3628,1505,378
1i9n,3628,1505,378
1i9o,3628,1505,378
1i9p,3628,1505,378
1i9q,3628,1505,378
1iau,3628,188,378
1ibc,3628,176,378
1idg,3628,225,378
1iew,3628,891,378
1iht,3628,188,378
1ii5,3628,896,378
1ijr,3628,1152,378
1ilq,3628,80,378
1inq,3628,722,378
1iq1,3628,1110,378
1irs,3628,82,378
1is0,3628,1152,378
1iup,3628,83,378
1iwq,3628,348,378
1iy7,3628,617,378
1j01,3628,46,378
1j19,3628,84,378
1j36,3628,779,378
1j37,3628,779,378
1j4k,3628,47,378
1j4p,3628,1394,378
1j4q,3628,1394,378
1j7z,3628,1060,378
1j80,3628,1060,378
1j81,3628,1060,378
1jak,3628,125,378
1jbd,3628,225,378
1jd0,3628,1505,378
1jd5,3628,1058,378
1jd6,3628,1058,378
1jet,3628,1384,378
1jeu,3628,1384,378
1jev,3628,1384,378
1jfh,3628,1241,378
1jjk,3628,37,378
1jlr,3628,201,378
1jlx,3628,86,378
1jm4,3628,1168,378
1jmf,3628,550,378
1jmg,3628,550,378
1jmi,3628,550,378
1jmq,3628,334,378
1jn4,3628,1060,378
1joc,3628,87,378
1joj,3628,1074,378
1jp5,3628,914,378
1jpl,3628,98,378
1jq3,3628,312,378
1jq8,3628,250,378
1jq9,3628,250,378
1jqy,3628,88,378
1jrs,3628,188,378
1jt1,3628,1356,378
1juf,3628,722,378
1juq,3628,98,378
1jvu,3628,1060,378
1jwm,3628,179,378
1jws,3628,179,378
1jwu,3628,179,378
1jyc,3628,1074,378
1jyi,3628,1074,378
1k06,3628,166,378
1k08,3628,166,378
1k1o,3628,188,378
1k1p,3628,188,378
1k1y,3628,90,378
1k21,3628,188,378
1k22,3628,188,378
1k3n,3628,1394,378
1k3q,3628,1394,378
1k9q,3628,334,378
1k9r,3628,334,378
1ka7,3628,1152,378
1kak,3628,296,378
1kat,3628,91,378
1kc5,3628,940,378
1kcs,3628,940,378
1kds,3628,951,378
1kdw,3628,951,378
1ke0,3628,951,378
1ke3,3628,951,378
1kf0,3628,1,378
1kjr,3628,1180,378
1klg,3628,179,378
1klu,3628,179,378
1km3,3628,37,378
1kmy,3628,93,378
1kna,3628,62,378
1kne,3628,62,378
1kqb,3628,94,378
1kti,3628,166,378
